date,min-max,average_price
20 ธ.ค. 2564,20 - 25,22.50 
21 ธ.ค. 2564,20 - 25,22.50 
22 ธ.ค. 2564,10 - 15,12.50 
23 ธ.ค. 2564,10 - 15,12.50 
24 ธ.ค. 2564,10 - 15,12.50 
27 ธ.ค. 2564,15 - 20,17.50 
28 ธ.ค. 2564,15 - 20,17.50 
29 ธ.ค. 2564,15 - 20,17.50 
30 ธ.ค. 2564,15 - 20,17.50 
04 ม.ค. 2565,20 - 25,22.50 
05 ม.ค. 2565,15 - 20,17.50 
06 ม.ค. 2565,15 - 20,17.50 
07 ม.ค. 2565,20 - 25,22.50 
