date,min-max,average_price
03 มิ.ย. 2565,30 - 35,32.50 
04 มิ.ย. 2565,20 - 25,22.50 
05 มิ.ย. 2565,20 - 25,22.50 
06 มิ.ย. 2565,20 - 25,22.50 
07 มิ.ย. 2565,20 - 25,22.50 
08 มิ.ย. 2565,20 - 25,22.50 
09 มิ.ย. 2565,20 - 25,22.50 
10 มิ.ย. 2565,20 - 25,22.50 
11 มิ.ย. 2565,20 - 25,22.50 
12 มิ.ย. 2565,20 - 25,22.50 
13 มิ.ย. 2565,20 - 25,22.50 
14 มิ.ย. 2565,25 - 30,27.50 
15 มิ.ย. 2565,25 - 30,27.50 
16 มิ.ย. 2565,25 - 30,27.50 
17 มิ.ย. 2565,20 - 25,22.50 
18 มิ.ย. 2565,20 - 25,22.50 
19 มิ.ย. 2565,20 - 25,22.50 
20 มิ.ย. 2565,20 - 25,22.50 
21 มิ.ย. 2565,15 - 20,17.50 
22 มิ.ย. 2565,20 - 25,22.50 
23 มิ.ย. 2565,20 - 25,22.50 
24 มิ.ย. 2565,15 - 20,17.50 
25 มิ.ย. 2565,20 - 25,22.50 
26 มิ.ย. 2565,20 - 25,22.50 
27 มิ.ย. 2565,15 - 20,17.50 
28 มิ.ย. 2565,15 - 20,17.50 
29 มิ.ย. 2565,15 - 20,17.50 
30 มิ.ย. 2565,15 - 20,17.50 
01 ก.ค. 2565,15 - 20,17.50 
02 ก.ค. 2565,15 - 20,17.50 
03 ก.ค. 2565,20 - 25,22.50 
04 ก.ค. 2565,20 - 25,22.50 
05 ก.ค. 2565,15 - 20,17.50 
06 ก.ค. 2565,20 - 25,22.50 
07 ก.ค. 2565,20 - 25,22.50 
08 ก.ค. 2565,20 - 25,22.50 
09 ก.ค. 2565,20 - 25,22.50 
10 ก.ค. 2565,20 - 25,22.50 
11 ก.ค. 2565,20 - 25,22.50 
12 ก.ค. 2565,20 - 25,22.50 
13 ก.ค. 2565,20 - 25,22.50 
14 ก.ค. 2565,20 - 25,22.50 
15 ก.ค. 2565,20 - 25,22.50 
16 ก.ค. 2565,20 - 25,22.50 
17 ก.ค. 2565,20 - 25,22.50 
18 ก.ค. 2565,20 - 25,22.50 
